start	end	text
245000	249000	약간 지휴할 쪽으로 많이
249000	251000	아직은 그쪽으로 가 있죠.
251000	253000	그래서 저도 이제
253000	257000	아이디ation이나 이쪽으로는 계속 하면서
257000	260000	왜냐면 텍티컬 먹은 계속 있잖아요.
260000	262000	이미 고기 있으니까.
262000	264000	구인을 계속 만들어야 되죠.
264000	267000	그걸 계속 고치고 있는 거는 따로 하고
267000	270000	이제 그 외의 거를 좀 요구하고 있는 것 같아요.
270000	274000	그래서 저희 디자인팀에서도 디자인 리퍼를 만들어가지고
274000	278000	거기다가 스킬이랑 컨택스트 입히는 작업을 하고 있어요.
278000	280000	오케이 오케이.
280000	283000	나도 보면은 사실 구이저업 같은 것보다는
283000	286000	요즘에는 그냥 할 레싱이랑 AID 전
286000	289000	그냥 옥캐스트 주의션이랑 스킬이랑 스킬이랑
289000	290000	스킬이랑 연결시키고
290000	292000	그러는데 시간이 더 많이 보내는 것 같다는
292000	294000	해면 들긴 하더라고요.
296000	297000	그쵸.
297000	298000	오케이 오케이.
298000	300000	그리고 그러면은
300000	302000	코드 체키는 그러면 이제 너가
302000	304000	폴로랜드 엔지니어처럼 하는 거야.
304000	305000	아니면은 어쩌도 한 번 한 번을
305000	307000	그거를 이렇게 그냥 다 줄어놔.
307000	310000	그게 그때 당시는 너무 재밌어가지고
310000	312000	미친 듯이 했었거든요.
313000	314000	그런데 이제
314000	317000	그거대한 피드백이 여러 개가 있었어요.
317000	320000	하나는 이제 엔지니어 친구들은
320000	322000	우리가 있는데 굳이
322000	324000	해줘서 고맙긴 한데
324000	326000	굳이 해야 되냐
326000	329000	약간 그런 느낌의 뉴앙스를 받았어요.
329000	330000	그리고
331000	332000	이제 저희 이제 그러면은 이게 뭐
332000	335000	파워스트리스 스튜디오에서 듣던 거였었어
335000	337000	아니면 네가 체키를 너무 많이 해냈어요
337000	339000	얘네들이 그거를 위료를 하기 귀찮은 거였어.
339000	340000	뭐야?
340000	342000	뭐 두 달일 수도 있죠.
342000	343000	그러니까 저는 사실은 그렇게
343000	345000	학에 대한 이유는
345000	348000	퀄리티를 되게 중요하게 생각을 했거든요.
348000	351000	그런데 이제 저랑 같이 일하는 친구들이
351000	354000	백현대 해빙 친구들이 좀 많았어요.
354000	356000	그래서 그거를 일일이 하는 것보다는
356000	358000	그냥 제가 CSS 구쳐가지고 만드는 게
358000	359000	더 빨라서
359000	361000	그리고 코앗이도 가신 좋잖아
361000	363000	왜냐면 너가 왜 마지막까지 붙잡고
363000	364000	그쵸.
364000	366000	마지막은 끝까지 니가 조절을 해서
366000	368000	이거를 푸실을 할 거 아니야.
368000	370000	근데 이게 양날의 고민 것 같아요.
370000	372000	그러니까 거기에 시간을 쓰면서
372000	374000	코드 체킹을 하면은
374000	376000	그거 막 테스트 다 돌려보고 막 일해야 되잖아요.
376000	380000	그런 시간들이 굳이 제가 필요 없는데
380000	383000	제가 재밌어서 했던 작업들인 거죠.
383000	384000	오케이.
384000	385000	그래서 이제
385000	387000	그리고 디자인 울구에서는
387000	390000	굳이 그렇게 하는 게 의미가 없다.
390000	392000	라는 느낌이 들 받았어요.
392000	396000	그러니까 오히려 아이디이션을 좀 더 많이 하고
396000	399000	그런 조금 원하는 것 같아서
399000	401000	약간 이제 좀 많이 나았죠.
401000	404000	그거를 아이디이션은 그래도 계속 AI로 하는 거야?
404000	406000	아니면은 애 아이로 계속 하고 있어요.
406000	408000	AI로 계속 하고
408000	410000	피그마는?
410000	413000	피그마.
413000	415000	그거를.
416000	418000	그런데 아직은 디자인 시스템이
418000	421000	팀이 유저한 내가 디자인 시스템을
421000	423000	다 피그마를 확인하거든요.
423000	425000	그런데 이제
425000	429000	뭐 그냥 소스업 트우스를 볼려면은
429000	432000	결국은 코드를 그냥 보는 것 같고요.
432000	435000	이 컴퍼넌트에 내가 시코드들도 있잖아요.
435000	438000	그러니까 내가 시 디자인 토끈들도 있고
438000	442000	뭐 그런 것들도 쓸려면은 그렇게 가야 되는 것 같고.
443000	445000	그리고 또 아직은 그 뭐냐.
445000	448000	바이브 코딩이랑 피그마랑 연결을 시켜가지고
448000	450000	디자인 바이브 코딩 하는 게
450000	453000	리얼 자체가 아예 100% 디자인 패러
453000	454000	얻혀가지고 나오는 거는
454000	456000	여기 회사도 그거 아직 못하고 있지.
456000	458000	우리 회사도 우리 회사도 못하고 있어.
458000	459000	그렇죠.
459000	461000	아직은 어려운 것 같은데
461000	463000	그래도 어느 정도 가까워진 것 같아요.
463000	464000	그래.
464000	465000	네.
465000	467000	어느 정도 가까워진 것 같고.
467000	469000	그러면은 그거만 하는 팀이 있는 거야?
469000	471000	전 시스템 팀이 하는데
471000	474000	저희가 팀이라고 하기에는 좀 작아요.
474000	476000	전 시스템 팀 제가.
476000	480000	그래서 아니 그러니까 6000명 규모회 회사인데
480000	483000	디자인 팀이 45명 정도 있거든요.
483000	484000	오.
484000	485000	작네.
485000	488000	45명 중에 5명은 있어 처음에는 40명이에요.
488000	492000	그중에서 매니저들 빼면은 한 35명?
492000	496000	그런데 저희가 포트폴리오가 엄청 많거든요.
496000	499000	그리고 앱들이 앱이라고 하면
499000	502000	저만 해도 이제 퍼포먼스 매니즈먼트를
502000	506000	맡고 있는데 수익을 거기에는 이제
506000	508000	리뷰 사이클들락을 해서
508000	511000	퍼포먼스 리뷰 그 평가에는
511000	514000	그런 앱이 하나 있고 그게 제일 크고요.
514000	517000	그다음에 뭐 골 매니즈먼트 하는 거나
517000	520000	원호원 하는 거나 뭐 휘드백 주고 받는 거를
520000	521000	따로 하거나
521000	524000	컴팬세이션 밴드 이렇게 측정해가지고
524000	529000	이런 것들 제가 다섯 개를 맡고 있으니까
529000	534000	사실은 되게 벅차죠 사실.
534000	536000	그런데 이제 그런데 그래서 이제 애가
536000	539000	생겨가지고 사실 되게 편하긴 하겠다.
539000	540000	그렇죠.
540000	542000	컴팩스트를 같은 것들 네가
542000	545000	사실 뭐 다 알아야 될 것도 없고
545000	547000	뭐 큰 것들을 많이 도와주겠네.
547000	550000	그런데 이게 되게 웃긴 것 중에 하나는
550000	553000	엔지니어는 그대로 절 명수가.
553000	556000	엔지니어도 사실은 이 피션 씨가 올라갔잖아요.
556000	557000	그렇지.
557000	558000	네.
558000	561000	그러다 보니까 제가 올라가도
561000	564000	사실은 1대일로 다 매칭이 돼야 되니까
564000	566000	그 친구들도 다 프로젝트를 하고 있고
566000	569000	디자인이 필요할 때는 저한테 오니까
569000	573000	이제 거기서 또 생기는 버틀렉들이
573000	574000	있긴 하죠.
574000	576000	네가 바로 내가 해.
576000	579000	뭐 그렇게 볼 수도 있죠.
580000	581000	저랑.
581000	583000	아니 왜냐면 지금 에센스 에센스는
583000	586000	굉장히 디자인이 바로 내기야.
586000	590000	엔지니어링이 하여행을 더 했어.
590000	592000	그런데 디자인이 생각하고
592000	594000	저희도 뭐 엔지니어링이랑
594000	598000	수 데뷔하면 저도 1대한 10정도 되거든요.
598000	602000	10명 정도랑 같이 일하니까.
602000	604000	그런데 우리는 디자이너 애들은 또
604000	606000	전부 다 그렇게 AI로 아직.
607000	609000	다 하시는 애들도 아니고 되게
609000	610000	리지스턴수도 강해.
610000	613000	특히 우리는 sf같이 공용 회사들은
613000	615000	공용하는 사람들이 많아가지고.
615000	616000	그렇죠.
616000	618000	나랑 되게 많이 싸웠어.
618000	620000	되게 어려운 것 같아요.
620000	623000	그러니까 저희는 그래서 사람을 바꾸면서
623000	625000	바뀌는 것 같아요.
625000	627000	기존에 있었던 사람들은
627000	630000	그거를 아직 못 따라갔던 것 같고
630000	633000	제가 약간 중간에 있는 것 같고.
633000	635000	그런 친구들은 아직까지 텍틱컬한
635000	638000	거에 많이 임벌부가 안 돼 있으니까
638000	640000	아예 아예 아예 네이틱 쪽으로
640000	642000	많이 가려고 하는 것 같고.
642000	643000	그의 새로운 친구들은 그래?
643000	646000	그러면 하여행을 아예 그쪽으로
646000	647000	많이 하는 것 같아요.
647000	649000	제가 봤을 때는 포커스를
649000	652000	그러니까 브리표 디자인이 다 1일이
652000	654000	인터뷰하거든요.
654000	656000	너도 들어가는 데서
656000	658000	저는 아직 안 들어가요.
658000	661000	그런데 저를 못 믿는 것 같다는 생각이.
662000	664000	그렇지 말고 너무 경솔한 것도
664000	665000	아니 아니.
665000	666000	나중에 재수 없어.
666000	668000	아니 근데
668000	672000	약간은 리앙스나 이런 것들이
672000	674000	그러니까 똑똑해요 되게 브리표의 디자인이
674000	676000	되게 똑똑하고
676000	678000	잘하는데
678000	680000	근데 약간 새로 들어오는 친구들이
680000	683000	좀 더 막 말 잘하고
683000	685000	그런 쪽으로 좀 더 많이 뽑더라고요.
685000	686000	그래서 아예 약간
686000	688000	디자인 커져 자체를 이쪽으로
688000	690000	가져가려고 하는 구나라는 거를
690000	692000	좀 더 크게 느끼는 것 같아요.
692000	694000	그러면 다 애들은
694000	695000	크라드스코드 쓸 줄 알고
695000	696000	다 그런 애들이겠네.
696000	698000	크라우드코드는
698000	699000	기본적으로 쓰는 것 같아요.
699000	702000	그 다음 pm들도 뭐 다 쓸까.
702000	705000	터미더도 해가지고 그지요.
705000	706000	그렇죠.
706000	707000	터미더도 뭐
707000	709000	저는 데스카 그냥 f가라
709000	710000	가지고 쓰는데
710000	712000	그리고 다들
712000	713000	디자이너들은 이제
713000	714000	다들 거의
714000	715000	기록이나 윗포 같은 거
715000	716000	쓰는 것들은
716000	717000	거의 다 터득했고
717000	718000	어떻게 해야 되는지 알고.
718000	720000	어차피 어차피 크라드가
720000	721000	다 해 주니까
721000	722000	뭐 우리가 다 용어 몰라도 그지요.
722000	723000	그쵸 그쵸.
723000	725000	근데 아직까지
725000	727000	버거와는 친구들이 보이긴 보여요.
727000	730000	다 40명이 다 같이
730000	731000	되게 재밌는 건
731000	733000	리서처 애들이 되게 잘했어요.
733000	734000	어 그지
734000	735000	걔네들한테는 완전
735000	736000	그거지
736000	737000	왜냐면
737000	738000	신세계에요. 신세계.
738000	739000	신세계.
739000	741000	신트 사이즈를 좀 원하는 애들이니까.
741000	743000	근데 그 친구들한테
743000	745000	그 모거 팔 수 있는
745000	746000	프로듀살빙을 할 수
746000	748000	좀 만들어놓으니까
748000	749000	이렇게 다 봐봐
749000	750000	나오더라고요.
750000	752000	그래서 와 얘네들도
752000	753000	그리고 되게
753000	755000	재밌는 것 중에 하나가
755000	757000	저희가 원래 컨텐 마이러가
757000	758000	있었어요.
758000	759000	컨텐 디자이너라고
759000	760000	그지
760000	761000	신경이 있었거든요.
761000	762000	네.
762000	764000	한명은
764000	766000	GPS 그때 한참
766000	768000	GPS 나왔을 때
768000	769000	거기다가
769000	770000	호늘 다 갈아 놓고
770000	772000	나갔어요.
772000	773000	자기에
773000	775000	분신을 만들어 놓고
775000	776000	자기가
776000	777000	그걸 만들어보니까
777000	778000	이제
778000	779000	자기 이제
779000	781000	룰이 없어질 것 같다는 생각이
781000	782000	든 거죠.
782000	783000	그래서 아예
783000	784000	룰을 체인지에서
784000	785000	딴대로 갔고요.
785000	786000	딴대로 잘 간 것 같고
786000	787000	그래도 그거 많이
787000	788000	그러니까 자기 자신을
788000	789000	스키워도
789000	790000	되게 많이 만들어 놓고
790000	791000	그쵸 그쵸.
791000	792000	그때가 입으면서
792000	793000	아 이거는
793000	794000	나무나라고
794000	795000	오케오케
795000	796000	맞아요. 그리고
796000	797000	다른 친구한 명은
797000	799000	아이 프로듀자이너로
799000	801000	타이티를 바꿨는데
801000	802000	잘 못
802000	803000	할 줄
803000	804000	그러니까
804000	805000	잘 못 따라갈 줄 알았는데
805000	807000	오히려 이제
807000	808000	말을 잘하니까
808000	809000	그리고 또
809000	810000	자기 만에
810000	811000	표정까지 있으니까
811000	812000	그게
812000	814000	그걸로 가져가더라고요.
814000	815000	그리고 심지어
815000	816000	그러니까
816000	817000	좀 테크닉컬러한
817000	818000	쪽으로 좀 빠져있는
818000	819000	친구다 보니까
819000	820000	그쪽으로는
820000	822000	좀 더 강하게 가더라고요.
822000	823000	그래서
823000	825000	이게 오히려
825000	826000	어차피 AI랑
826000	827000	얘기하는 게
827000	828000	더 중요한 스킬입니까.
828000	829000	그런 컨택스나
829000	830000	이런 것도
831000	832000	그래서
832000	833000	여기에서 또
833000	834000	기술 바라는 구나
834000	835000	저의 대단하다
835000	836000	약간 이런 생각에
836000	837000	했죠.
837000	838000	완전 유아의
838000	839000	스킬만 있는
839000	840000	친구들은 좀 힘든거야.
840000	841000	어
841000	842000	맞아 맞아
842000	843000	그렇죠.
843000	844000	그리고
844000	845000	계속 뭔가 좀
845000	846000	퀄리아 시리가 있어가지고
846000	847000	모두 그냥
847000	848000	클라이터한테 계속
848000	849000	물어봐서
849000	850000	돌진하고
850000	851000	모두 그냥
851000	852000	차가 내고
852000	853000	그런 거에
853000	854000	조금 좀
854000	855000	중요하게 하겠다
855000	856000	보니까
856000	857000	너는
857000	858000	그래
858000	859000	뭐 여기까지
859000	860000	너는 어떻게 할 생각이요
860000	861000	이게 이제
861000	862000	그래요.
862000	863000	저는
863000	865000	저는 제 이의
865000	866000	음악을 살아야죠.
866000	867000	그
867000	868000	그게 어떻게 될 것 같아
868000	869000	그래서
869000	870000	어
870000	872000	근데 아마
872000	873000	계속 남아
873000	874000	있을 수
874000	875000	있을 것 같다는 생각은
875000	876000	들거든요.
876000	877000	그런데 이게
877000	878000	사람이 좀 좀
878000	879000	줄어들긴 할 것 같고
879000	880000	뭐
880000	881000	저만의
881000	882000	거를 만들어
882000	883000	가거나
883000	884000	저만의
884000	885000	강점을 살려서
885000	886000	그냥
886000	888000	쭉
888000	889000	큰 회사나
889000	890000	작은 회사나
890000	891000	이런
891000	892000	상관없이
892000	893000	저만의
893000	894000	브랜드를
894000	895000	만들어서
895000	896000	가거나
896000	897000	그러지 않을까요?
897000	898000	어
898000	899000	그거 태우가
899000	900000	얘기랑 똑같네.
900000	901000	태우가
901000	902000	똑같네.
902000	903000	태우가
903000	904000	또
904000	905000	그
905000	906000	뭐냐
906000	907000	그
907000	909000	디자인 그룹에서
909000	910000	이모 중에 한 명에
910000	911000	있었는데
911000	912000	엔지니어로
912000	913000	계셨던
913000	914000	엔지니어로
914000	915000	아
915000	916000	네네
916000	917000	제니어로
917000	918000	잡을 잡으려고
918000	919000	했었는데
919000	920000	엔지니어로
920000	921000	디프레이션
921000	922000	가지고
922000	923000	왔었는데
923000	924000	하지만 잘하는
924000	925000	부분을
925000	926000	표혁하게 하니까
926000	927000	그것을 원하는
927000	928000	회사에
928000	929000	들어갔다는
929000	930000	계획이라고 하는데
930000	931000	너랑
931000	932000	비슷한 얘기하는
932000	933000	것 같기도 하고
933000	934000	그러면
934000	935000	너만의
935000	936000	표혁한
936000	937000	부분은
937000	938000	어떻게 찾고
938000	939000	있어?
939000	940000	아니면
940000	941000	뭐라고 생각해
941000	942000	어떻게
942000	943000	그것을 더
943000	944000	뒤로 높을거야?
944000	945000	그리고
945000	946000	이제는
946000	947000	격력도
947000	948000	이 정도 있고
948000	949000	하다 보니까
949000	950000	어떤 회사에
950000	951000	나를 맞추는
951000	952000	거는
952000	953000	조금 힘든 것 같아요.
953000	954000	내가
954000	955000	미친 듯이
955000	956000	가고 싶은 회사가
956000	957000	있는 것도
957000	958000	사실은
958000	959000	없고
959000	960000	이제는
960000	961000	오히려
961000	962000	반대로 내
962000	963000	스킬이
963000	964000	이런 거를
964000	965000	잘 팔아서
965000	966000	그거랑
966000	967000	맞는 사람
967000	968000	이랑 같이
968000	969000	할 수
969000	970000	있으면
970000	971000	그것도
971000	972000	재밌을 것 같은
972000	973000	사실
973000	974000	너가
974000	975000	표혁한
975000	976000	스킬이
976000	977000	있던 팀이랑
977000	978000	저런 팀이랑
978000	979000	다른 거를 원하니까
979000	980000	그런 팀을
980000	981000	할 수도
981000	982000	할 수도 있겠네
982000	983000	그쵸
983000	985000	그쵸
985000	986000	그러면
986000	987000	너는
987000	988000	요즘에
988000	989000	그
989000	990000	뭐냐
990000	991000	바뀌는
991000	992000	취엔드 중에서
992000	993000	그러면
993000	994000	디자이너에
994000	995000	사람들이
995000	996000	좀
996000	997000	물 조금 더
997000	998000	생각을 해야지
998000	999000	더
999000	1000000	살아남을 것 같으니까
1000000	1001000	너가
1001000	1002000	그쵸
1002000	1003000	그쵸
1003000	1004000	근데
1004000	1005000	결과적으로
1005000	1006000	는
1006000	1007000	푸는 거는
1007000	1008000	똑같은 것 같거든요
1008000	1009000	결국에는
1009000	1010000	뭘 원하는지를
1010000	1011000	파악을 해서
1011000	1012000	그거를
1012000	1013000	풀어나가는 거니까
1013000	1014000	그거를
1014000	1015000	혼동하면
1015000	1016000	그냥
1016000	1017000	그냥
1017000	1018000	토크만
1018000	1019000	날리고 있는
1019000	1020000	경우가
1020000	1021000	되게 많으니까
1021000	1022000	그거를
1022000	1023000	약간
1023000	1024000	중요하게
1024000	1025000	생각하면서
1025000	1026000	결국에는
1026000	1027000	그래도
1027000	1028000	봄질은
1028000	1029000	Problom
1029000	1030000	그
1030000	1031000	뭐에서
1031000	1032000	형이
1032000	1033000	항상 얘기하시는
1033000	1034000	가서를 세우고
1034000	1035000	이트레이션을 한 다음에
1035000	1036000	검증을 하는
1036000	1037000	그럼
1037000	1038000	프로세스
1038000	1039000	는 없어지지는 않을 것 같아요
1039000	1040000	그리고
1040000	1041000	다만
1041000	1042000	그 프로세스가
1042000	1043000	엄청
1043000	1044000	빠르게
1044000	1045000	이트레이션이 되겠죠
1045000	1047000	그리고
1047000	1048000	아
1048000	1049000	결과적으로
1049000	1050000	아
1050000	1051000	근데
1051000	1052000	결과적으로
1052000	1053000	사람이 쓰는
1053000	1054000	UI를
1054000	1055000	만드는
1055000	1056000	사람들은
1056000	1057000	많이 줄지 않을까
1057000	1058000	이제
1058000	1059000	사람들이
1059000	1060000	쓰기꾹 만드는
1060000	1061000	걸로 갈 것 같고
1061000	1062000	그래서
1062000	1063000	이제
1063000	1064000	전 회사가
1064000	1066000	마틀라시안이라는 회사였는데
1066000	1067000	아
1067000	1068000	아
1068000	1069000	아
1069000	1070000	아
1070000	1071000	아
1071000	1072000	아
1072000	1073000	아
1073000	1074000	아
1074000	1075000	아
1075000	1076000	아
1076000	1077000	아
1077000	1078000	아
1078000	1079000	아
1079000	1080000	아
1080000	1081000	아
1081000	1082000	아
1082000	1083000	아
1083000	1084000	아
1084000	1085000	아
1085000	1086000	아
1086000	1099000	그러나
1099000	1100000	그
1100000	1102000	와
1102000	1103000	прямо
1103000	1104000	아
1104000	1105000	오늘
1105000	1106000	오늘
1106000	1107000	오늘
1107000	1110000	가장
1110000	1113940	Weg
1113940	1117140	뭐 그거는 뭐 받아들여야죠.
1117140	1119340	그래서 진짜 얼마 안 남은 것 같아요.
1119340	1125300	이렇게 약간 하입이 돼서 생활할...
1125300	1127860	그냥 일할 수 있는게.
1127860	1129940	그게 뭔가요?
1129940	1133260	약간 전성기?
1133260	1133940	뭐라고 그러지?
1133940	1136020	골드 타임은
1136020	1138140	이제 약간 지나가고 있는 게 아닌가.
1138140	1139300	프로덕트 디자인으로서.
1139300	1143140	유엑스, 바로 유엑스.
1143140	1147060	다 북캠프 대세균이 때문이야 더.
1147060	1148580	알겠네, 약간 진짜.
1148580	1150900	요즘에는 북캠프 하는 친구들이나
1150900	1153940	준혁의 친구들한테 해 줄 수 있는 게
1153940	1155100	딱히 없는 것 같아요.
1155100	1157380	완전 환경도 다르고.
1157380	1161300	사실은 인터뷰를 기존대로 하는 게
1161300	1167100	만나라는 생각도 들고.
1167100	1168420	그렇습니다.
1168420	1169940	그러면 너는 그런 사람들한테
1169940	1171180	어떤 무슨 얘기를 해주고 싶어?
1171180	1172700	준혁의 디자이네들한테?
1172700	1176940	뭘 해야 될 것 같애, 얘네들은?
1176940	1180020	아, 이게 진짜 어려운 것 같아요.
1180020	1182580	답을 모르겠어요.
1182580	1186020	지웠죠, 생각해서 하나만 얘기해봐.
1186020	1190260	그러니까 준혁, 일단은 잡 들어가는 게
1190260	1191580	중요하잖아요.
1191580	1193540	경험을 쌓는 게 중요한데.
1193540	1197420	경험을 못 쌓으니까 들어가기도 어려우니까.
1197420	1200180	근데 이제 결과적으로는
1200180	1201860	결국에 나한테로 돌아와야지
1201860	1204700	되는 게 아닌가라는 생각이 드는데.
1204700	1207100	내가 좋아하고 내가 잘하는 거에
1207100	1210020	늘 하다 보면 결국에 찾는 사람들은
1210020	1214700	있는 거고 너무 다른 사람들처럼
1214700	1217780	빅택 가야겠다는 것보다는
1217780	1222260	그렇게 가는 게 더 흥립적이지 않을까.
1222260	1225020	그리고 요즘에는 빅택 말고도
1225020	1228660	사람 적어도 랩인을 잘 나오는 회사들이
1228660	1231900	많아줬잖아요, 베이아이도 많으시오.
1231900	1236100	그러니까 그게 좀 더 맞는 모델이 아닐까.
1236100	1237860	오케이, 오케이.
1237860	1240540	알았어, 되게 기준문에 대답해 주셔서 고맙고
1240540	1243460	모두 궁금한 점은 없냐?
1243460	1245020	형은 요즘 어때요?
1245020	1248700	나? 나는 되게 좋은데
1248700	1252180	정지수에서 되게 상처를 받고 있어.
1252180	1253780	되게 제도 어려운 건데.
1253780	1256220	혼자 날라듣기니까
1256220	1257900	나를 별로 안 좋아... 나를 그러니까
1257900	1259900	다른 사람들이 되게 많은데
1259900	1262420	나를 별로 안 좋아하는 사람들이
1262420	1266020	굉장히 많이 눈에 보여.
1266020	1268020	기준이 높은 사람들도.
1268020	1270140	높은 사람들은 잘 모르겠고
1270140	1273340	왜냐하면 주변에 트레디션으로 디자이너 애드리나
1273340	1276980	그리고 나는 스타떡 마인드 센스 있으니까
1276980	1279300	나는 뭐 내가 주어진 년일 아니더라도
1279300	1281220	회사에서 불편하거나 그런 것들이 있으면
1281220	1282380	다 못 주려고 하잖아.
1282380	1285300	그런데 불편함을 고친다라는 거는
1285300	1287540	누구의 이래 내가 영향을 준다는 거잖아.
1287540	1289060	그러니까 너 내 것성을 약간 그런 식으로
1289060	1289980	제 인거니까요.
1289980	1292140	그래서 저는 데스 논의베이올 베이징스
1292140	1296340	가 돼버리는 그런 게 되게 많은 것 같아요.
1296340	1298940	그리고 또 언제나 데모 같은 거 하면
1298940	1301260	나는 일주일에 한, 두 개씩 갖고 와가지고
1301260	1302900	그런 거 보여요.
1302900	1305700	그런 거 하니까 되게 좀 그런 데서
1305700	1308060	마찰이 와가지고
1308060	1312940	나도 사실은 언제든지 나갈 수 있을
1312940	1314580	준비를 좀 해나겠다는 생각을 하고
1314580	1315980	이런 것이고
1315980	1317580	내가 하는 모든 일들이
1317580	1319380	오론메리클이 폴리오가 만들어지는
1319380	1322660	에이전트로 지금 만들고 있어.
1322660	1325020	어, 그게 괜찮다.
1325020	1327300	왜냐하면 우리한테 그게 페인포인트잖아.
1327300	1328460	그렇죠.
1328460	1331180	생각만 해도 이제 깔끔한데.
1331180	1332780	그래서 애니메, 그래가지고
1332780	1335060	하드모 좀 그러고 있기는 한데
1335060	1337780	뭐 SAP 자체는 유럽에서라서
1337780	1339620	슬리콘벨리처럼 그렇게 많이 쉽게
1339620	1342700	못 자르거나 그런 것 같지는 않아.
1343100	1346100	그리고 스피드가 형 스피드로
1346100	1348660	안 따라가면 형도 답답할 거 아니에요.
1348660	1350940	아, 나는 그것이 많이 듣고니까
1350940	1354260	되게 웃긴 게 뭐냐면 SAP는
1354260	1357580	뭐냐, 나를 하여한 이유가
1357580	1359780	스타트업 스피드를 갖고 있는 사람을
1359780	1362020	조금 해서 자기네 컵처럼 갖고 싶어서
1362020	1363540	나를 하여를 했는데
1363540	1365820	나를 하여를 해 놓고 나한테
1365820	1367220	어떤 말을 하냐면
1367220	1368620	David, you're moving too fast.
1368620	1372180	그 딴 식으로 나한테 얘기를 하는 거야.
1372180	1374220	그래서 이게 두 길이
1374220	1375780	두 길이가 같이 공존하게 되게
1375780	1377500	힘들구나 라는 생각이 들더라고요.
1377500	1378260	그렇죠.
1378260	1379500	그렇죠.
1379500	1381580	왜냐하면 빨리 가는 대신
